Domain,Paper Name,Authors,Distinguished,URL
domain_analytics,The untold story of code refactoring customizations in practice,"Daniel Oliveira, Wesley Assunção, Alessandro Garcia, Ana Carla Bibiano, Márcio Ribeiro, Rohit Gheyi, Baldoino Fonseca",False,No URL available
domain_analytics,Data Quality for Software Vulnerability Datasets,"Roland Croft, Muhammad Ali Babar, M. Mehdi Kholoosi",False,No URL available
domain_analytics,A Comprehensive Study of Real-World Bugs in Machine Learning Model Optimization,"Hao Guan, Ying Xiao, Jiaying LI, Yepang Liu, Guangdong Bai",False,No URL available
domain_analytics,Comparison and Evaluation of Clone Detection Techniques with Different Code Representations,"Yuekun Wang, Yuhang Ye, Yueming Wu, Weiwei Zhang, Yinxing Xue, Yang Liu",False,No URL available
domain_analytics,Learning Graph-based Code Representations for Source-level Functional Similarity Detection,"Jiahao Liu, Jun Zeng, Xiang Wang, Zhenkai Liang",False,No URL available
domain_analytics,"Code Review of Build System Specifications: Prevalence, Purposes, Patterns, and Perceptions","Mahtab Nejati, Mahmoud Alfadel, Shane McIntosh",False,No URL available
domain_analytics,Learning Deep Semantics for Test Completion,"Pengyu Nie, Rahul Banerjee, Junyi Jessy Li, Raymond Mooney, Milos Gligoric",False,No URL available
domain_analytics,An Empirical Comparison of Pre-Trained Models of Source Code,"Changan Niu, Chuanyi Li, Vincent Ng, Dongxiao Chen, Jidong Ge, Bin Luo",False,No URL available
domain_analytics,On the Robustness of Code Generation Techniques: An Empirical Study on GitHub Copilot,"Antonio Mastropaolo, Luca Pascarella, Emanuela Guglielmi, Matteo Ciniselli, Simone Scalabrino, Rocco Oliveto, Gabriele Bavota",False,No URL available
domain_analytics,KnowLog: Knowledge Enhanced Pre-trained Language Model for Log Understanding,"Lipeng Ma, Weidong Yang, Bo Xu, Sihang Jiang, Ben Fei, Jiaqing Liang, Mingjie Zhou, Yanghua Xiao",False,No URL available
domain_analytics,Unveiling Memorization in Code Models,"Zhou Yang, Zhipeng Zhao, Chenyu Wang, Jieke Shi, Dongsun Kim, DongGyun Han, David Lo",False,No URL available
domain_analytics,Exploring the Potential of ChatGPT in Automated Code Refinement: An Empirical Study,"Qi Guo, Junming Cao, Xiaofei Xie, Shangqing Liu, Xiaohong Li, Bihuan Chen, Xin Peng",False,No URL available
