Domain,Paper Name,Authors,Distinguished
domain_ai_se,One Adapter for All Programming Languages? Adapter Tuning for Multilingual Tasks in Software Engineering,"Deze Wang, Boxing Chen, Shanshan Li, Wei Luo, Shaoliang Peng, Wei Dong, Liao Xiangke",False
domain_ai_se,CCRep: Learning Code Change Representations via Pre-Trained Code Model and Query Back,"Zhongxin Liu, Zhijie Tang, Xin Xia, Xiaohu Yang",False
domain_ai_se,Keeping Pace with Ever-Increasing Data: Towards Continual Learning of Code Intelligence Models,"Shuzheng Gao, Hongyu Zhang, Cuiyun Gao, Chaozheng Wang",False
domain_ai_se,Automating Code-Related Tasks Through Transformers: The Impact of Pre-training,"Rosalia Tufano, Luca Pascarella, Gabriele Bavota",False
domain_ai_se,Log Parsing with Prompt-based Few-shot Learning,"Van-Hoang Le, Hongyu Zhang",False
domain_ai_se,Retrieval-Based Prompt Selection for Code-Related Few-Shot Learning,"Noor Nashid, Mifta Sintaha, Ali Mesbah",False
domain_ai_se,An Empirical Study of Pre-Trained Model Reuse in the Hugging Face Deep Learning Model Registry,"Wenxin Jiang, Nicholas Synovic, Matt Hyatt, Taylor R. Schorlemmer, Rohan Sethi, Yung-Hsiang Lu, George K. Thiruvathukal, James C. Davis",False
domain_ai_se,ContraBERT: Enhancing Code Pre-trained Models via Contrastive Learning,"Shangqing Liu, bozhi wu, Xiaofei Xie, Guozhu Meng, Yang Liu",False
domain_ai_se,Are Human Rules Necessary? Generating Reusable APIs with CoT Reasoning and In-context Learning,"Yubo Mai, Zhipeng Gao, Xing Hu, Lingfeng Bao, Yu Liu, JianLing Sun",False
domain_ai_se,CodeArt: Better Code Models by Attention Regularization When Symbols Are Lacking,"Zian Su, Xiangzhe Xu, Ziyang Huang, Zhuo Zhang, Yapeng Ye, Jianjun Huang, Xiangyu Zhang",False
domain_ai_se,Enhancing Code Understanding for Impact Analysis by Combining Transformers and Program Dependence Graphs,"Yanfu Yan, Nathan Cooper, Kevin Moran, Gabriele Bavota, Denys Poshyvanyk, Steve Rich",False
domain_ai_se,Exploring and Unleashing the Power of Large Language Models in Automated Code Translation,"Zhen Yang, Fang Liu, Zhongxing Yu, Jacky Keung, Jia Li, Shuo Liu, Hong Yifan, Xiaoxue Ma, Zhi Jin, Ge Li",False
domain_ai_se,Glitch Tokens in Large Language Models: Categorization Taxonomy and Effective Detection,"Yuxi Li, Yi Liu, Gelei Deng, Ying Zhang, Wenjia Song, Ling Shi, Kailong Wang, Yuekang Li, Yang Liu, Haoyu Wang",False
domain_ai_se,Code-Aware Prompting: A study of Coverage guided Test Generation in Regression Setting using LLM,"Gabriel Ryan, Siddhartha Jain, Mingyue Shang, Shiqi Wang, Xiaofei Ma, Murali Krishna Ramanathan, Baishakhi Ray",False
domain_ai_se,Improving the Learning of Code Review Successive Tasks with Cross-Task Knowledge Distillation,"Oussama Ben Sghaier, Houari Sahraoui",True
domain_ai_se,Learning to Detect and Localize Multilingual Bugs,"Haoran Yang, Yu Nong, Tao Zhang, Xiapu Luo, Haipeng Cai",False
domain_ai_se,Mining Action Rules for Defect Reduction Planning,"Khouloud Oueslati, Gabriel Laberge, Maxime Lamothe, Foutse Khomh",False
domain_ai_se,Predicting Failures of Autoscaling Distributed Applications,"Giovanni Denaro, Noura El Moussa, Rahim Heydarov, Francesco Lomio, Mauro Pezze, Ketai Qiu",False
domain_ai_se,"RavenBuild: Context, Relevance, and Dependency Aware Build Outcome Prediction","Gengyi Sun, Sarra Habchi, Shane McIntosh",False
domain_ai_se,B-AIS: An Automated Process for Black-box Evaluation of AI-enabled Software Systems against Domain Semantics,"Hamed Barzamini, Mona Rahimi",False
domain_ai_se,SmOOD: Smoothness-based Out-of-Distribution Detection Approach for Surrogate Neural Networks in Aircraft Design,"Houssem Ben Braiek, Ali Tfaily, Foutse Khomh, Thomas Reid, Ciro Guida",False
domain_ai_se,Unveiling Hidden DNN Defects with Decision-Based Metamorphic Testing,"Yuanyuan Yuan, Qi Pang, Shuai Wang",False
domain_ai_se,Patching Weak Convolutional Neural Network Models through Modularization and Composition,"Binhang Qi, Hailong Sun, Xiang Gao, Hongyu Zhang",False
domain_ai_se,"Safety and Performance, Why not Both? Bi-Objective Optimized Model Compression toward AI Software Deployment","Jie Zhu, Leye Wang, Xiao Han",False
domain_ai_se,Are Neural Bug Detectors Comparable to Software Developers on Variable Misuse Bugs?,"Cedric Richter, Jan Haltermann, Marie-Christine Jakobs, Felix Pauck, Stefan Schott, Heike Wehrheim",False
domain_ai_se,Learning Contract Invariants Using Reinforcement Learning,"Junrui Liu, Yanju Chen, Bryan Tan, Işıl Dillig, Yu Feng",False
domain_ai_se,Compressing Pre-trained Models of Code into 3 MB,"Jieke Shi, Zhou Yang, Bowen Xu, Hong Jin Kang, David Lo",False
domain_ai_se,A Transferable Time Series Forecasting Service using Deep Transformer model for Online Systems,"Tao Huang, Pengfei Chen, Jingrun Zhang, Ruipeng Li, Rui Wang",False
domain_ai_se,Robust Learning of Deep Predictive Models from Noisy and Imbalanced Software Engineering Datasets,"Zhong Li, Minxue Pan, Yu Pei, Tian Zhang, Linzhang Wang, Xuandong Li",False
domain_ai_se,FedDebug: Systematic Debugging for Federated Learning Applications,"Waris Gill, Ali Anwar, Muhammad Ali Gulzar",False
domain_ai_se,Practical and Efficient Model Extraction of Sentiment Analysis APIs,"Weibin Wu, Jianping Zhang, Victor Junqiu Wei, Xixian Chen, Zibin Zheng, Irwin King, Michael Lyu",False
domain_ai_se,CrossCodeBench: Benchmarking Cross-Task Generalization of Source Code Models,"Changan Niu, Chuanyi Li, Vincent Ng, Bin Luo",False
domain_ai_se,Reusing Deep Neural Network Models through Model Re-engineering,"Binhang Qi, Hailong Sun, Xiang Gao, Hongyu Zhang, Zhaotian Li, Xudong Liu",False
domain_ai_se,PyEvolve: Automating Frequent Code Changes in Python ML Systems,"Malinda Dilhara, Danny Dig, Ameya Ketkar",False
domain_ai_se,DeepArc: Modularizing Neural Networks for the Model Maintenance,"xiaoning ren, Yun Lin, Yinxing Xue, Ruofan Liu, Jun Sun, Zhiyong Feng, Jin Song Dong",False
domain_ai_se,Decomposing a Recurrent Neural Network into Modules for Enabling Reusability and Replacement,"Sayem Mohammad Imtiaz, Fraol Batole, Astha Singh, Rangeet Pan, Breno Dantas Cruz, Hridesh Rajan",False
domain_ai_se,Towards Understanding Fairness and its Composition in Ensemble Machine Learning,"Usman Gohar, Sumon Biswas, Hridesh Rajan",False
domain_ai_se,Fairify: Fairness Verification of Neural Networks,"Sumon Biswas, Hridesh Rajan",False
domain_ai_se,Leveraging Feature Bias for Scalable Misprediction Explanation of Machine Learning Models,"Jiri Gesi, Xinyun Shen, Yunfan Geng, Qihong Chen, Iftekhar Ahmed",False
domain_ai_se,Information-Theoretic Testing and Debugging of Fairness Defects in Deep Neural Networks,"Verya Monjezi, Ashutosh Trivedi, Gang (Gary) Tan, Saeid Tizpaz-Niari",False
domain_ai_se,Harnessing Neuron Stability to Improve DNN Verification,"Hai Duong, Dong Xu, ThanhVu Nguyen, Matthew B Dwyer",False
domain_ai_se,MirrorFair: Fixing Fairness Bugs in Machine Learning Software via Counterfactual Predictions,"Ying Xiao, Jie M. Zhang, Yepang Liu, Mohammad Reza Mousavi, Sicen Liu, Dingyuan Xue",False
domain_ai_se,Natural Is The Best: Model-Agnostic Code Simplification for Pre-trained Large Language Models,"Yan Wang, Xiaoning Li, Tien N. Nguyen, Shaohua Wang, Chao Ni, Ling Ding",False
domain_ai_se,On Reducing Undesirable Behavior in Deep-Reinforcement-Learning-Based Software,"Ophir Carmel, Guy Katz",False
domain_ai_se,A Light Bug Triage Framework for Applying Large Pre-trained Language Model,"Jaehyung Lee, Hwanjo Yu, HanKisun",False
domain_ai_se,CARGO: AI-Guided Dependency Analysis for Migrating Monolithic Applications to Microservices Architecture,"Vikram Nitin, Shubhi Asthana, Baishakhi Ray, Rahul Krishna",True
domain_ai_se,PRCBERT: Prompt Learning for Requirement Classification using BERT-based Pretrained Language Models,"Xianchang Luo, Yinxing Xue, Zhenchang Xing, Jiamou Sun",False
domain_ai_se,DeepPerform: An Efficient Approach for Performance Testing of Resource-Constrained Neural Networks,"Simin Chen, Mirazul Haque, Cong Liu, Wei Yang",False
domain_ai_se,Boosting the Revealing of Detected Violations in Deep Learning Testing: A Diversity-Guided Method,"Xiaoyuan Xie, Pengbo Yin, Songqiang Chen",True
domain_ai_se,Towards Understanding the Faults of JavaScript-Based Deep Learning Systems,"Lili Quan, Qianyu Guo, Xiaofei Xie, Sen Chen, Xiaohong Li, Yang Liu",False
domain_ai_se,Toward Improving the Robustness of Deep Learning Models via Model Transformation,"Yingyi Zhang, Zan Wang, Jiajun Jiang, Hanmo You, Junjie Chen",False
domain_ai_se,Autonomy Is An Acquired Taste: Exploring Developer Preferences for GitHub Bots,"Amir Ghorbani, Nathan Cassee, Derek Robinson, Adam Alami, Neil Ernst, Alexander Serebrenik, Andrzej Wąsowski",False
domain_ai_se,Flexible and Optimal Dependency Management via Max-SMT,"Donald Pinckney, Federico Cassano, Arjun Guha, Jonathan Bell, Massimiliano Culpo, Todd Gamblin",False
