Domain,Knowledge-seeking vs. Eval,Nerd factor/zu spezifisch,Validation Nerd Factor,Higher-level RQ,Distinguished,Bucket ID,Paper Name,Research Questions (max. 4),Notiz,Suitability Tendenz,Authors,URL
"AI and software engineering, Auto-coding",Evaluation,-,,,FALSE,-,Information-Theoretic Testing and Debugging of Fairness Defects in Deep Neural Networks,"RQ1 Can DICE characterize the amounts of information from protected attributes used for the inferences? 
RQ2 Is the the proposed search algorithm effective and efficient (vis-a-vis the state-of-the-art techniques) in generating individual discrimination instances? 
RQ3 Can the proposed causal debugging guide us to localize and mitigate the amounts of discrimination?",,,"Verya Monjezi, Ashutosh Trivedi, Gang (Gary) Tan, Saeid Tizpaz-Niari",No URL available
"AI and software engineering, Auto-coding",Evaluation,-,,,FALSE,-,Retrieval-Based Prompt Selection for Code-Related Few-Shot Learning,"RQ1: How effective is retrieval-based prompt creation? 
• RQ2: How does CEDAR’s accuracy compare to state-ofthe-art models?",,,"Noor Nashid, Mifta Sintaha, Ali Mesbah",No URL available
"AI and software engineering, Auto-coding",Evaluation,-,,,FALSE,-,Large Language Models for Test-Free Fault Localization,"RQ1. HowdoesLLMAO comparewithprior FL techniques? Weevaluate our technique’s performance in comparison with existing FL techniques on the same dataset. 
RQ2. How well does LLMAO’s performance generalize to new projects? We evaluate LLMAO’s performance on previouslyunseen code, to assess its generalizability beyond its training data. 
RQ3. HowdoeseachcomponentofLLMAO impactitsperformance? We conduct an ablation analysis to evaluate the impact of different components on the performance of our model.
RQ4. Howgeneralizable is LLMAO tootherlanguages and domains? We evaluate LLMAO on different languages and domains.",,,"Aidan Z.H. Yang, Claire Le Goues, Ruben Martins, Vincent J. Hellendoorn",No URL available
Testing and analysis,Evaluation,-,,,TRUE,-,Testing Database Engines via Query Plan Guidance,"Q.1 New Bugs. Can QPG help with finding new bugs? Are complex query plans required to find these bugs? 
Q.2 Covering unique query plans. Can QPG cover more unique query plans than naive random generation and code-coverage guidance methods? 
Q.3 Bug Finding Efficiency. Can QPG find bugs more efficiently than naive random generation and code-coverage guidance methods? 
Q.4 Sensitivity Analysis. What is the contribution of each component of QPG? How does QPG perform under different configurations?",,,"Jinsheng Ba, Manuel Rigger",No URL available
Testing and analysis,Evaluation,-,,,TRUE,-,CrystalBLEU: Precisely and Efficiently Measuring the Similarity of Code,"RQ1: Howwell does CrystalBLEU distinguish between similar and dissimilar code? 
RQ2: CanCrystalBLEUavoidmisleadingresultsprovidedbyBLEU? 
RQ3: Howefficient is computing CrystalBLEU? 
RQ4: How sensitive is CrystalBLEU to the number 𝑘 of trivially shared n-grams?",,,"Aryaz Eghbali, Michael Pradel",No URL available
Testing and analysis,Evaluation,-,,,TRUE,-,A Transferability Study of Interpolation-Based Hardware Model Checking to Software Verification,"H1.A:ISMCisfasterthanIMContaskswithpropertyviolation
H1.B:ISMCisfasterthanIMCwhenIMCfindsaproofonlyathighunrollingbounds
H1.C: Overall, ISMC is faster than IMC
H2.A: For DAR, the ratio of iterations using global strengthening to the total number of iterations is less than 0.5 in most tasks",,,"Dirk Beyer, Po-Chun Chien, Marek Jankola, Nian-Ze Lee",No URL available
Testing and analysis,Evaluation,-,,,FALSE,-,MTAS: A Reference-Free Approach for Evaluating Abstractive Summarization Systems,"RQ1: Is the proposed metric SCY more suitable for evaluating AS systems as compared with currently available metrics? 
• RQ2: Howe ective is MTAS in evaluating AS systems? 
• RQ3: Howe ective are the proposed MRs as compared to general-purpose MRs? 
• RQ4: What kinds of issues in AS systems can be revealed by MTAS?",,,"Xiaoyan Zhu, Mingyue Jiang, Xiao-Yi Zhang, Liming Nie, Zuohua Ding",No URL available
Testing and analysis,Evaluation,-,,,FALSE,-,Impact of Code Language Models on Automated Program Repair,"do code language models bring improvement to automated program repair and how?
d the DL-based APR
techniques (RQ1). Then we fine-tune these CLMs with APR
training datasets of different sizes, and study the patches
generated by fine-tuned CLMs to show the impact of training
data size on fine-tuning (RQ2). Finally, by comparing patches
generated by differently sized code language models, we study
the size, time, and memory efficiency of different CLMs
(RQ3).
",,,"Nan Jiang, Kevin Liu, Thibaud Lutellier, Lin Tan",No URL available
Testing and analysis,Evaluation,-,,,FALSE,-,Revisiting and Improving Retrieval-Augmented Deep Assertion Generation,"• RQ1: What are the characteristics of the dataset? We first
perform an in-depth analysis of the dataset. In particular,
we analyze the distribution of assertion lengths on the
entire dataset. Next, for each Test-Assertion Pair TAPi in
the test set, we retrieve the assertion from the training set
whose corresponding focal-test has the highest similarity
to the focus-test of TAPi and compute the edit distance
between the assertion of TAPi and the retrieved assertion. Such investigation not only validates the dataset’s
characteristics but also helps us comprehend the intrinsic
association between TAPs and their similar instances,
which can guide our method design (see Section IV).
• RQ2: Where and why does Integration work? We further
explore the advantages of Integration for assertion generation. We first classify the results generated by Integration
according to the assertion generation method used. Next,
we analyze the assertions that are generated correctly.
• RQ3: Where and why does Integration fail? We investigate the weaknesses of Integration, which are critical
in that understanding the application scenario of an
approach can better help us apply it in practice [33].
RQ4: How does the proposed EDITAS perform compared
to state-of-the-art assertion generation baselines?",,,"Weifeng Sun, Hongyan Li, Meng Yan, Yan Lei, Hongyu Zhang, Hongyu Zhang",No URL available
Analytics,Evaluation,-,,,TRUE,-,Fast Graph Simplification for Path-Sensitive Typestate Analysis through Tempo-Spatial Multi-Point Slicing,"RQ1 Howdodifferent components impact the overall performance of FGS? We want to investigate how different slicing methods influence the effectiveness and efficiency of FGS. 
RQ2 DoesFGSoutperformpopularstatictoolsforbugdetection?Weaimtoexplorewhether FGS can detect more bugs with lower false alarm rates than the state-of-the-art on detecting existing bugs using the NIST benchmark with ground truths. 
RQ3 CanFGSfindbugswithlowerfalse positives efficiently in real-world projects? We would like to examine the effectiveness (in terms of true and false positives) and efficiency (in terms of running time and memory usage) of FGS on real-world popular applications.",,,"Xiao Cheng, Jiawei Ren, Yulei Sui",No URL available
Analytics,Evaluation,-,,,TRUE,-,Predictive Program Slicing via Execution Knowledge-Guided Dynamic Dependence Learning,"RQ1. E ectiveness on Executable Python Code: How accurate is ND-Slicer in predicting dynamic slices for a given slicing criterion in complete, executable Python programs? 
RQ2.E ectiveness onNon-ExecutablePythonCode:HowaccurateisND-Slicerinpredicting dynamic slices for a given slicing criterion in incomplete and non-executable Python programs?
RQ3. Crash Detection: How useful is ND-Slicer in locating crash faults in Python program?
RQ4. Statement Types: How well does ND-Slicer perform on di erent types of statements?",,,"Aashish Yadavally, Yi Li, Tien N. Nguyen",No URL available
Analytics,Evaluation,-,,,TRUE,-,Domain Adaptive Code Completion via Language Models and Decoupled Domain Databases,"• RQ1: What is the performance of kNM-LM for intra-project
code completion?
• RQ2: What is the performance of kNM-LM for intrascenario code completion?",,,"Ze Tang, Jidong Ge, Shangqing Liu, Tingwei Zhu, Tongtong Xu, Liguo Huang, Bin Luo",No URL available
