Domain,Knowledge-seeking vs. Eval,Nerd factor/zu spezifisch,Validation Nerd Factor,Higher-level RQ,Distinguished,Bucket ID,Paper Name,Research Questions (max. 4),Notiz,Suitability Tendenz,Authors,URL
"AI and software engineering, Auto-coding",Evaluation,,,,FALSE,,Predicting Performance and Accuracy of Mixed-Precision Programs for Precision Tuning,,,,"Yutong Wang, Cindy Rubio-González",No URL available
"AI and software engineering, Auto-coding",Evaluation,,,,FALSE,,UniLog: Automatic Logging via LLM and In-Context Learning,,,,"Junjielong Xu, Ziang Cui, Yuan Zhao, Xu Zhang, Shilin He, Pinjia He, Liqun Li, Yu Kang, Qingwei Lin, Yingnong Dang, Saravan Rajmohan, Dongmei Zhang",No URL available
"AI and software engineering, Auto-coding",Evaluation,,,,FALSE,,Leveraging Feature Bias for Scalable Misprediction Explanation of Machine Learning Models,,,,"Jiri Gesi, Xinyun Shen, Yunfan Geng, Qihong Chen, Iftekhar Ahmed",No URL available
"AI and software engineering, Auto-coding",Evaluation,,,,FALSE,,Xpert: Empowering Incident Management with Query Recommendations via Large Language Models,,,,"Yuxuan Jiang, Chaoyun Zhang, Shilin He, Zhihao Yang, Minghua Ma, Si Qin, Yu Kang, Yingnong Dang, Saravan Rajmohan, Qingwei Lin, Dongmei Zhang",No URL available
"AI and software engineering, Auto-coding",Evaluation,,,,FALSE,,FedDebug: Systematic Debugging for Federated Learning Applications,,,,"Waris Gill, Ali Anwar, Muhammad Ali Gulzar",No URL available
"AI and software engineering, Auto-coding",Evaluation,,,,FALSE,,Revisiting Neural Program Smoothing for Fuzzing,,,,"Maria Irina Nicolae, Max Eisele, Andreas Zeller",No URL available
"AI and software engineering, Auto-coding",Evaluation,,,,FALSE,,Keeping Pace with Ever-Increasing Data: Towards Continual Learning of Code Intelligence Models,,,,"Shuzheng Gao, Hongyu Zhang, Cuiyun Gao, Chaozheng Wang",No URL available
"AI and software engineering, Auto-coding",Knowledge-seeking,-1,1,,FALSE,-,Towards Understanding Fairness and its Composition in Ensemble Machine Learning,"RQ1: What are the fairness measures of various ensemble techniques? 
• RQ2: How does fairness compose in ensemble models? 
• RQ3: Can ensemble-related hyperparameters be chosen to design fair ensemble models?",,,"Usman Gohar, Sumon Biswas, Hridesh Rajan",No URL available
"AI and software engineering, Auto-coding",Evaluation,-,,,FALSE,-,Software Architecture Recovery with Information Fusion,,,,"Yiran Zhang, Zhengzi Xu, Chengwei Liu, Hongxu Chen, Sun Jianwen, Dong Qiu, Yang Liu",No URL available
"AI and software engineering, Auto-coding",Evaluation,-,,,FALSE,-,Dynamic Data Fault Localization for Deep Neural Networks,,,,"Yining Yin, Yang Feng, Shihao Weng, Zixi Liu, Yuan Yao, Yichi Zhang, Zhihong Zhao, Zhenyu Chen",No URL available
"AI and software engineering, Auto-coding",Evaluation,-,,,FALSE,-,Log Parsing with Prompt-based Few-shot Learning,,,,"Van-Hoang Le, Hongyu Zhang",No URL available
"AI and software engineering, Auto-coding",Evaluation,-,,,FALSE,-,Design by Contract for Deep Learning APIs,,,,"Shibbir Ahmed, Sayem Mohammad Imtiaz, Samantha Syeda Khairunnesa, Breno Dantas Cruz, Hridesh Rajan",No URL available
"AI and software engineering, Auto-coding",Evaluation,-,,,FALSE,-,"RavenBuild: Context, Relevance, and Dependency Aware Build Outcome Prediction",,,,"Gengyi Sun, Sarra Habchi, Shane McIntosh",No URL available
"AI and software engineering, Auto-coding",Evaluation,-,,,FALSE,-,Toward Automatically Completing GitHub Workflows,,,,"Antonio Mastropaolo, Fiorella Zampetti, Gabriele Bavota, Massimiliano Di Penta",No URL available
"AI and software engineering, Auto-coding",Evaluation,-,,,FALSE,-,[Remote] DeepRover: A Query-efficient Blackbox Attack for Deep Neural Networks,,,,"Fuyuan Zhang, Xinwen Hu, Lei Ma, Jianjun Zhao",No URL available
"AI and software engineering, Auto-coding",Evaluation,-,,,FALSE,-,Practical and Efficient Model Extraction of Sentiment Analysis APIs,,,,"Weibin Wu, Jianping Zhang, Victor Junqiu Wei, Xixian Chen, Zibin Zheng, Irwin King, Michael Lyu",No URL available
"AI and software engineering, Auto-coding",Evaluation,-,,,FALSE,-,Patching Weak Convolutional Neural Network Models through Modularization and Composition,,,,"Binhang Qi, Hailong Sun, Xiang Gao, Hongyu Zhang",No URL available
"AI and software engineering, Auto-coding",Evaluation,-,,,FALSE,-,SmOOD: Smoothness-based Out-of-Distribution Detection Approach for Surrogate Neural Networks in Aircraft Design,,,,"Houssem Ben Braiek, Ali Tfaily, Foutse Khomh, Thomas Reid, Ciro Guida",No URL available
"AI and software engineering, Auto-coding",Evaluation,-,,,FALSE,-,Testing Coreference Resolution Systems without Labeled Test Sets,,,,"Jialun Cao, Yaojie Lu, Ming Wen, Shing-Chi Cheung",No URL available
"AI and software engineering, Auto-coding",Evaluation,-,,,FALSE,-,DecompoVision: Reliability Analysis of Machine Vision Components Through Decomposition and Reuse,,,,"Boyue Caroline Hu, Lina Marsso, Nikita Dvornik, Huakun Shen, Marsha Chechik",No URL available
"AI and software engineering, Auto-coding",Knowledge-seeking,0,0,,FALSE,B1,An Empirical Study on Low GPU Utilization of Deep Learning Jobs,"(1) What are the root causes of low-GPU-utilization issues? 
(2) What are the current solutions to fix these issues?",,,"Yanjie Gao, yichen he, Xinze Li, Bo Zhao, Haoxiang Lin, Yoyo Liang, Jing Zhong, Hongyu Zhang, Jingzhou Wang, Yonghua Zeng, Keli Gui, Jie Tong, Mao Yang",No URL available
"AI and software engineering, Auto-coding",,,,,FALSE,-,Tensor-Aware Energy Accounting,,,,"Timur Babakol, Yu David Liu",No URL available
