Domain,Paper Name,Authors,Distinguished,URL
domain_dependability_security,BFTDetector: Automatic Detection of Business Flow Tampering for Digital Content Service,"I Luk Kim, Weihang Wang, Yonghwi Kwon, Xiangyu Zhang",False,No URL available
domain_dependability_security,Improving Smart Contract Security with Contrastive Learning-based Vulnerability Detection,"Yizhou Chen, Zeyu Sun, Zhihao Gong, Dan Hao",False,No URL available
domain_dependability_security,Precise (Un)Affected Version Analysis for Web Vulnerabilities,"ShiYoukun, Yuan Zhang, Tianhan Luo, Xiangyu Mao, Min Yang",False,No URL available
domain_dependability_security,GLITCH: Automated Polyglot Security Smell Detection in Infrastructure as Code,"Nuno Saavedra, João F. Ferreira",False,No URL available
domain_dependability_security,FedSlice: Protecting Federated Learning Models from Malicious Participants with Model Slicing,"Ziqi Zhang, Yuanchun Li, Bingyan Liu, Yifeng Cai, Ding Li, Yao Guo, Xiangqun Chen",False,No URL available
domain_dependability_security,An Empirical Study of Automation in Software Security Patch Management,"Nesara Dissanayake, Asangi Jayatilaka, Mansooreh Zahedi, Muhammad Ali Babar",False,No URL available
domain_dependability_security,Reentrancy Vulnerability Detection and Localization: A Deep Learning Based Two-phase Approach,"Zhuo Zhang, Yan Lei, Meng Yan, Yue Yu, Jiachi Chen, Shangwen Wang, Xiaoguang Mao",False,No URL available
domain_dependability_security,Scalable Relational Analysis via Relational Bound Propagation,"Clay Stevens, Hamid Bagheri",False,No URL available
domain_dependability_security,Are They Toeing the Line? Diagnosing Privacy Compliance Violations among Browser Extensions,"Yuxi Ling, Kailong Wang, Guangdong Bai, Haoyu Wang, Jin Song Dong",False,No URL available
domain_dependability_security,Understanding Transaction Bugs in Database Systems,"Ziyu Cui, Wensheng Dou, Yu Gao, Dong Wang, Jiansen Song, Yingying Zheng, Tao Wang, Rui Yang, Kang Xu, Yixin Hu, Jun Wei, Tao Huang",False,No URL available
domain_dependability_security,Scrutinizing Privacy Policy Compliance of Virtual Personal Assistant Apps,"Fuman Xie, Yanjun Zhang, Chuan Yan, Suwan Li, Lei Bu, Kai Chen, Zi Huang, Guangdong Bai",False,No URL available
domain_dependability_security,ThirdEye: Attention Maps for Safe Autonomous Driving Systems,"Andrea Stocco, Paulo J. Nunes, Marcelo d'Amorim, Paolo Tonella",False,No URL available
domain_dependability_security,VGX: Large-Scale Sample Generation for Boosting Learning-Based Software Vulnerability Analyses,"Yu Nong, Richard Fang, Guangbei Yi, Kunsong Zhao, Xiapu Luo, Feng Chen, Haipeng Cai",False,No URL available
domain_dependability_security,GPTScan: Detecting Logic Vulnerabilities in Smart Contracts by Combining GPT with Program Analysis,"Yuqiang Sun, Daoyuan Wu, Yue Xue, Han Liu, Haijun Wang, Zhengzi Xu, Xiaofei Xie, Yang Liu",False,No URL available
domain_dependability_security,Bad Snakes: Understanding and Improving Python Package Index Malware Scanning,"Duc Ly Vu, Zachary Newman, John Speed Meyers",False,No URL available
domain_dependability_security,Investigating Documented Privacy Changes in Android OS,"Chuan Yan, Mark Huasong Meng, Fuman Xie, Guangdong Bai",False,No URL available
domain_dependability_security,Combining Structured Static Code Information and Dynamic Symbolic Traces for Software Vulnerability Prediction,"Huanting Wang, Zhanyong Tang, Shin Hwei Tan, Jie Wang, Yuzhe Liu, Hejun Fang, Chunwei Xia, Zheng Wang",False,No URL available
domain_dependability_security,Keyword Extraction From Specification Documents for Planning Security Mechanisms,"Jeffy Jahfar Poozhithara, Hazeline Asuncion, Brent Lagesse",False,No URL available
domain_dependability_security,A User-centered Security Evaluation of Copilot,"Owura Asare, Mei Nagappan, N. Asokan",False,No URL available
domain_dependability_security,[Remote] Distinguishing Look-Alike Innocent and Vulnerable Code by Subtle Semantic Representation Learning and Explanation,"Chao Ni, Xin Yin, Kaiwen Yang, Dehai Zhao, Zhenchang Xing, Xin Xia",False,No URL available
domain_dependability_security,Toward Improved Deep Learning-based Vulnerability Detection,"Adriana Sejfia, Satyaki Das, Saad Shafiq, Nenad Medvidović",False,No URL available
domain_dependability_security,Coca: Improving and Explaining Graph Neural Network-Based Vulnerability Detection Systems,"Sicong Cao, Xiaobing Sun, Xiaoxue Wu, David Lo, Lili Bo, Bin Li, Wei Liu",False,No URL available
domain_dependability_security,VulGen: Realistic Vulnerability Generation Via Pattern Mining and Deep Learning,"Yu Nong, Yuzhe Ou, Michael Pradel, Feng Chen, Haipeng Cai",False,No URL available
domain_dependability_security,Towards More Practical Automation of Vulnerability Assessment,"Shengyi Pan, Lingfeng Bao, Jiayuan Zhou, Xing Hu, Xin Xia, Shanping Li",False,No URL available
domain_dependability_security,AdHere: Automated Detection and Repair of Intrusive Ads,"Yutian Yan, Yunhui Zheng, Xinyue Liu, Nenad Medvidović, Weihang Wang",False,No URL available
domain_dependability_security,Your Code Secret Belongs to Me: Neural Code Completion Tools Can Memorize Hard-coded Credentials,"Yizhan Huang, Yichen LI, Weibin Wu, Jianping Zhang, Michael Lyu",False,No URL available
