category,name,authors,url,distinguished
AI models for SE,One Adapter for All Programming Languages? Adapter Tuning for Multilingual Tasks in Software Engineering,"Deze Wang, Boxing Chen, Shanshan Li, Wei Luo, Shaoliang Peng, Wei Dong, Liao Xiangke",No URL available,False
AI models for SE,CCRep: Learning Code Change Representations via Pre-Trained Code Model and Query Back,"Zhongxin Liu, Zhijie Tang, Xin Xia, Xiaohu Yang",https://arxiv.org/abs/2302.03924,False
AI models for SE,Keeping Pace with Ever-Increasing Data: Towards Continual Learning of Code Intelligence Models,"Shuzheng Gao, Hongyu Zhang, Cuiyun Gao, Chaozheng Wang",No URL available,False
Fuzzing: applications,Detecting JVM JIT Compiler Bugs via Exploring Two-Dimensional Input Spaces,"Haoxiang Jia, Ming Wen, Zifan Xie, Xiaochen Guo, Rongxin Wu, Maolin Sun, Kang Chen, Hai Jin",https://justinwm.github.io/paper/ICSE-JOpFuzzer-Checked.pdf,False
Fuzzing: applications,JITfuzz: Coverage-guided Fuzzing for JVM Just-in-Time Compilers,"Mingyuan Wu, Minghai Lu, Heming Cui, Junjie Chen, Yuqun Zhang, Lingming Zhang",No URL available,False
Fuzzing: applications,Validating SMT Solvers via Skeleton Enumeration Empowered by Historical Bug-Triggering Inputs,"Maolin Sun, Yibiao Yang, Ming Wen, Yongcong Wang, Yuming Zhou, Hai Jin",https://justinwm.github.io/paper/ICSE-HistFuzzer-Checked.pdf,False
Fuzzing: applications,Regression Fuzzing for Deep Learning Systems,"Hanmo You, Zan Wang, Junjie Chen, Shuang Liu, Shuochuan Li",No URL available,False
Fuzzing: applications,Operand-Variation-Oriented Differential Analysis for Fuzzing Binding Calls in PDF Readers,"Suyue Guo, Xinyu Wan, Wei You, Bin Liang, Wenchang Shi, Yiwei Zhang, Jianjun Huang, Jian Zhang",https://www.youwei.site/papers/ICSE2023.pdf,False
Mining software repositories,The untold story of code refactoring customizations in practice,"Daniel Oliveira, Wesley Assunção, Alessandro Garcia, Ana Carla Bibiano, Márcio Ribeiro, Rohit Gheyi, Baldoino Fonseca",https://customrefactoring.github.io/download/preprint.pdf,False
Mining software repositories,Data Quality for Software Vulnerability Datasets,"Roland Croft, Muhammad Ali Babar, M. Mehdi Kholoosi",https://arxiv.org/abs/2301.05456,False
